timestamp,open,high,low,close,volume
2019-08-26,145500,147000,143000,143500,423695
2019-08-27,144000,147500,141500,146500,904199
2019-08-28,146500,147500,144500,146500,309159
2019-08-29,146500,146500,143500,145000,408164
2019-08-30,146000,149000,144500,146500,424498
2019-09-02,156000,156000,147500,150000,371788
2019-09-03,151500,151500,149000,150500,308863
2019-09-04,149500,151000,149000,151000,351494
2019-09-05,150000,151000,145000,147000,548033
2019-09-06,146000,150000,145500,149500,223250
2019-09-09,149500,154000,148500,153000,464232
2019-09-10,153000,153000,150000,150500,297053
2019-09-11,150500,154000,150000,153500,738431
2019-09-16,154500,156500,153500,154500,449618
2019-09-17,153000,155500,153000,155000,304106
2019-09-18,156000,159500,155500,159000,465208
2019-09-19,157000,158000,156000,157500,377446
2019-09-20,156000,158000,156000,157000,390181
2019-09-23,157500,158000,155500,157000,204570
2019-09-24,157000,158500,155500,158000,195994
2019-09-25,155500,159000,155500,158000,274586
2019-09-26,157500,159000,156500,158000,313084
2019-09-27,158500,158500,154500,156000,241249
2019-09-30,155000,157500,154500,157000,313910
2019-10-01,157500,160000,157000,160000,260668
2019-10-02,159000,160000,156500,157000,203708
2019-10-04,155500,159000,148500,150500,602642
2019-10-07,150500,153500,150000,153000,387749
2019-10-08,154500,154500,151500,153500,250805
2019-10-10,151500,155500,150500,153500,404228
2019-10-11,156500,157000,153500,156000,216730
2019-10-14,156000,156500,153500,156000,246407
2019-10-15,156500,156500,150500,151500,297569
2019-10-16,151500,155000,151000,154500,280882
2019-10-17,155000,156500,152000,153000,280276
2019-10-18,151500,153500,150000,150500,245740
2019-10-21,151500,153500,149000,152000,245735
2019-10-22,150500,154500,150500,154000,360102
2019-10-23,152000,153500,151500,152500,226744
2019-10-24,151500,153000,150500,153000,224666
2019-10-25,151000,153500,151000,152500,162510
2019-10-28,152500,158000,152500,157000,335238
2019-10-29,157500,158000,152000,153000,321007
2019-10-30,152000,154500,151500,154500,290658
2019-10-31,159000,167000,157500,164000,1409619
2019-11-01,166000,168500,164000,167000,720358
2019-11-04,165500,167000,162000,164500,455199
2019-11-05,164000,164500,159500,161500,662116
2019-11-06,161500,164000,160500,161500,332755
2019-11-07,162000,166500,161000,165500,390866
2019-11-08,165000,165000,162000,163500,306968
2019-11-11,163500,165000,162500,163000,231149
2019-11-12,164000,164000,160000,162000,236652
2019-11-13,158500,159000,156000,158000,500221
2019-11-14,170000,180000,169500,180000,2042648
2019-11-15,177000,179000,173000,173500,886846
2019-11-18,177500,181500,172500,178500,876975
2019-11-19,174500,176000,169500,170500,1055749
2019-11-20,170500,174000,168000,169500,602206
2019-11-21,169000,172500,168000,170000,543754
2019-11-22,169500,171000,165500,167500,481529
2019-11-25,168000,174500,167000,174000,490795
2019-11-26,173500,175500,171500,173000,774461
2019-11-27,175000,175500,172000,172500,299949
2019-11-28,172500,174500,170000,173000,252885
2019-11-29,173000,173500,168500,172000,349615
2019-12-02,172500,175000,170000,171500,275601
2019-12-03,170500,173500,168500,172000,245675
2019-12-04,172000,175500,171000,174500,228851
2019-12-05,173000,174000,170000,170500,271499
2019-12-06,172000,174500,170500,174000,208849
2019-12-09,174000,175500,173000,175000,271990
2019-12-10,174500,175500,173000,174500,215711
2019-12-11,175000,175500,173500,174000,200711
2019-12-12,174500,176500,173000,175500,609714
2019-12-13,177500,177500,173000,175500,317833
2019-12-16,175000,180000,174000,179500,335819
2019-12-17,180000,181000,178000,180500,370752
2019-12-18,180000,180000,175000,178500,310567
2019-12-19,175000,179500,175000,179000,296857
2019-12-20,180000,187000,179500,183500,560761
2019-12-23,185000,185500,182000,184000,250256
2019-12-24,184000,184000,179000,182000,193440
2019-12-26,181500,183000,179000,180500,173426
2019-12-27,182000,185000,179000,183500,323473
2019-12-30,183500,190000,183500,186500,376541
2020-01-02,187500,188000,182000,182500,300640
2020-01-03,185000,186000,180500,181500,454492
2020-01-06,180000,182000,178000,180500,287970
2020-01-07,182500,187000,181500,187000,328624
2020-01-08,182000,183500,179000,183000,820867
2020-01-09,183500,186500,183500,186000,531355
